Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Total_Revenue,Return_ID,Original_Tx_ID,Return_Date,Refund_Amount,Status,is_returned,Net_Revenue
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.2,1,Paid,919.2,,,,0.0,,False,919.2
100061,2023-11-17,C0002,Electronics,Laptop X,1598.23,1,Paid,1598.23,,,,0.0,,False,1598.23
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,,,,0.0,,False,23.86
100391,,C0001,Smart Home,NordTherm,101.68,1,Paid,101.68,,,,0.0,,False,101.68
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,35.72,,,,0.0,,False,35.72
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,230.36,,,,0.0,,False,230.36
100105,2023-11-19,C0056,Smart Home,NordCam Mini,82.4,1,Paid,82.4,,,,0.0,,False,82.4
100603,2023-12-04,C0002,Electronics,Laptop X,1771.94,1,Paid,1771.94,,,,0.0,,False,1771.94
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,210.88,,,,0.0,,False,210.88
100563,2023-12-03,C0008,Electronics ,Smartphone Z,855.14,1,Paid,855.14,R000001,Ref: 100563,2023-12-15,855.14,Processed,True,0.0
100366,2023-11-28,C0004, Electronics ,Smartphone Z,1024.64,1,Paid,1024.64,,,,0.0,,False,1024.64
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,222.61,,,,0.0,,False,222.61
100043,,C0002,Electronics ,TV Pro,1164.3,1,Paid,1164.3,,,,0.0,,False,1164.3
100725,2023-12-06,C0003, Accessories,Laptop Sleeve,27.13,2,Paid,54.26,,,,0.0,,False,54.26
100456,2023-11-30,C0001, Smart Home ,NordTherm,105.45,1,Paid,105.45,,,,0.0,,False,105.45
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,290.46,1,Paid,290.46,,,,0.0,,False,290.46
101176,2023-11-24,C0017,Accessories,Phone Case,34.84,1,Paid,34.84,,,,0.0,,False,34.84
101058,2023-12-13,C0001,Electronics,Laptop X,1504.82,1,Paid,1504.82,,,,0.0,,False,1504.82
100032,2023-11-16,C0094,Electronics,Laptop X,1585.05,1,Paid,1585.05,,,,0.0,,False,1585.05
100455,2023-11-30,C0117, Smart Home ,NordLock Pro,205.04,2,Paid,410.08,,,,0.0,,False,410.08
100354,2023-11-28,C0002, Smart Home ,NordLock Pro,201.09,1,Paid,201.09,,,,0.0,,False,201.09
101181,,C0006,Accessories,Accessory Bundle,27.11,1,Paid,27.11,,,,0.0,,False,27.11
100062,,C0001, Smart Home ,NordLock Pro,221.97,1,Paid,221.97,,,,0.0,,False,221.97
100858,,C0001,Electronics,TV Pro,1060.25,1,Failed,1060.25,,,,0.0,,False,1060.25
101049,2023-12-13,C0001, Electronics ,NoiseCancel Headphones,288.0,1,Paid,288.0,,,,0.0,,False,288.0
100686,2023-12-05,C0059,Electronics,Tablet A,753.9,1,Paid,753.9,,,,0.0,,False,753.9
100233,,C0278,Electronics,TV Pro,1041.16,1,Paid,1041.16,,,,0.0,,False,1041.16
100094,2023-11-18,C0076, Accessories ,Charger,28.32,3,Paid,84.96000000000001,,,,0.0,,False,84.96000000000001
100215,,C0063,Electronics,Smartphone Z,1077.99,1,Paid,1077.99,,,,0.0,,False,1077.99
100310,2023-11-26,C0002,Electronics,TV Pro,1601.36,1,Paid,1601.36,,,,0.0,,False,1601.36
100202,2023-11-23,C0002, Smart Home ,NordLock Pro,186.48,1,Pending,186.48,,,,0.0,,False,186.48
100290,2023-11-25,C0002, Accessories ,Phone Case,12.32,1,Paid,12.32,,,,0.0,,False,12.32
100737,2023-12-06,C0015,Electronics,Tablet A,672.16,1,Paid,672.16,,,,0.0,,False,672.16
100318,2023-11-27,C0005,Electronics,Smartphone Z,727.66,1,Paid,727.66,,,,0.0,,False,727.66
101141,,C0038, Accessories ,Accessory Bundle,55.24,3,Paid,165.72,,,,0.0,,False,165.72
100891,2023-12-09,C0008,Smart Home,NordLock Pro,212.31,2,Paid,424.62,,,,0.0,,False,424.62
101188,2023-12-10,C0062, Accessories ,Wireless Mouse,32.09,1,Paid,32.09,,,,0.0,,False,32.09
100096,2023-11-18,C0001,Electronics,NoiseCancel Headphones,166.52,1,Paid,166.52,,,,0.0,,False,166.52
100880,2023-12-09,C0001,Smart Home,NordLock Pro,231.5,1,Paid,231.5,,,,0.0,,False,231.5
100070,2023-11-17,C0124,Accessories,Accessory Bundle,86.79,1,Paid,86.79,,,,0.0,,False,86.79
100797,,C0097,Electronics,Tablet A,583.65,1,Paid,583.65,,,,0.0,,False,583.65
100721,2023-12-06,C0085,Smart Home,NordLock Pro,200.26,1,Paid,200.26,,,,0.0,,False,200.26
100796,2023-12-07,C0145,Accessories,Wireless Mouse,43.57,1,Paid,43.57,,,,0.0,,False,43.57
100353,,C0010,Electronics ,NoiseCancel Headphones,297.95,1,Failed,297.95,,,,0.0,,False,297.95
100352,2023-11-28,C0013, Electronics ,Laptop X,1343.0,1,Paid,1343.0,,,,0.0,,False,1343.0
100551,,C0200,Electronics,Tablet A,445.23,1,Paid,445.23,,,,0.0,,False,445.23
100404,2023-11-29,C0017, Smart Home ,NordTherm,83.85,1,Paid,83.85,,,,0.0,,False,83.85
100715,,C0002,Electronics,NoiseCancel Headphones,330.75,1,Paid,330.75,,,,0.0,,False,330.75
100431,,C0310,Smart Home,NordLock Pro,193.31,1,Paid,193.31,,,,0.0,,False,193.31
100608,2023-12-04,C0024,Smart Home,NordTherm,81.21,1,Paid,81.21,,,,0.0,,False,81.21
100648,2023-12-05,C0024,Electronics ,Smartphone Z,834.38,1,Paid,834.38,,,,0.0,,False,834.38
100623,,C0002,Accessories,Laptop Sleeve,43.96,2,Paid,87.92,,,,0.0,,False,87.92
100341,2023-11-27,C0006,Electronics,NoiseCancel Headphones,300.7,2,Paid,601.4,,,,0.0,,False,601.4
100742,2023-12-07,C0001, Accessories ,USB-C Cable,10.69,4,Paid,42.76,,,,0.0,,False,42.76
100873,2023-12-09,C0004,Electronics,Smartphone Z,863.18,1,Paid,863.18,,,,0.0,,False,863.18
100078,,C0007,Electronics,Tablet A,527.12,1,Paid,527.12,,,,0.0,,False,527.12
101143,2023-12-10,C0001,Electronics ,TV Pro,970.6,1,Paid,970.6,,,,0.0,,False,970.6
100910,,C0006,Smart Home,NordLock Pro,181.92,1,Failed,181.92,,,,0.0,,False,181.92
100432,2023-11-29,C0006,Smart Home,NordLock Pro,187.29,1,Failed,187.29,,,,0.0,,False,187.29
100272,,C0003, Electronics ,TV Pro,1118.62,1,Paid,1118.62,,,,0.0,,False,1118.62
100081,,C0091,Electronics,Tablet A,372.51,1,Paid,372.51,,,,0.0,,False,372.51
100280,2023-11-25,C0002,Accessories,Charger,39.36,1,Paid,39.36,,,,0.0,,False,39.36
100837,,C0006,Electronics,Tablet A,702.29,1,Paid,702.29,,,,0.0,,False,702.29
100506,2023-12-01,C0057, Accessories,Screen Protector,7.12,1,Paid,7.12,,,,0.0,,False,7.12
100364,2023-11-28,C0003,Electronics,TV Pro,1094.93,1,Paid,1094.93,,,,0.0,,False,1094.93
101173,2023-12-07,C0002,Electronics ,Tablet A,636.8,1,Paid,636.8,,,,0.0,,False,636.8
100612,2023-12-04,C0052, Accessories,Charger,35.09,3,Pending,105.27000000000001,,,,0.0,,False,105.27000000000001
100040,2023-11-16,C0238,Electronics,Laptop X,1653.4,1,Paid,1653.4,,,,0.0,,False,1653.4
101085,2023-12-13,C0038,Smart Home,NordCam Mini,91.86,2,Paid,183.72,,,,0.0,,False,183.72
100412,,C0053,Electronics,TV Pro,1261.41,1,Paid,1261.41,,,,0.0,,False,1261.41
100278,,C0181,Smart Home,NordLock Pro,247.91,1,Paid,247.91,,,,0.0,,False,247.91
101101,2023-12-14,C0004,Smart Home,NordLock Pro,211.15,1,Paid,211.15,,,,0.0,,False,211.15
100565,2023-12-03,C0005,Smart Home,NordLock Pro,185.0,1,Paid,185.0,,,,0.0,,False,185.0
100827,2023-12-08,C0013, Electronics ,Tablet A,665.07,1,Paid,665.07,R000002,TX-100827,2023-12-20,665.07,Processed,True,0.0
100561,,C0002,Electronics,Tablet A,771.78,1,Paid,771.78,,,,0.0,,False,771.78
101183,,C0170,Accessories,Charger,30.35,2,Paid,60.7,,,,0.0,,False,60.7
100426,2023-11-29,C0031,Accessories,Screen Protector,8.99,2,Failed,17.98,,,,0.0,,False,17.98
100345,2023-11-27,C0250,Electronics,TV Pro,1536.64,1,Paid,1536.64,,,,0.0,,False,1536.64
100998,,C0001,Accessories,Laptop Sleeve,23.36,1,Failed,23.36,,,,0.0,,False,23.36
101047,2023-12-13,C0023,Electronics,Tablet A,441.24,1,Paid,441.24,,,,0.0,,False,441.24
100471,2023-11-30,C0019, Smart Home ,NordLock Pro,180.99,1,Paid,180.99,,,,0.0,,False,180.99
100303,2023-11-26,C0003, Smart Home ,NordLock Pro,224.82,1,Paid,224.82,,,,0.0,,False,224.82
101002,,C0008,Electronics,Tablet A,318.91,1,Paid,318.91,,,,0.0,,False,318.91
100570,2023-12-03,C0001, Accessories,Laptop Sleeve,19.23,1,Paid,19.23,,,,0.0,,False,19.23
100058,2023-11-17,C0031,Electronics,TV Pro,914.97,1,Paid,914.97,,,,0.0,,False,914.97
100395,2023-11-29,C0169,Electronics,NoiseCancel Headphones,180.76,1,Paid,180.76,,,,0.0,,False,180.76
100093,2023-11-18,C0004,Electronics ,Smartphone Z,894.13,1,Paid,894.13,,,,0.0,,False,894.13
100798,2023-12-08,C0004, Accessories ,Laptop Sleeve,41.56,1,Paid,41.56,,,,0.0,,False,41.56
100573,2023-12-03,C0008,Electronics,Laptop X,1597.38,1,Paid,1597.38,,,,0.0,,False,1597.38
